Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
9.1183,0.0,8.9217,9.0124,9.1732,9.362,9.5368,9.6556,9.6764,9.5572
8.6815,0.0,8.6478,8.7568,8.9095,9.0754,9.2245,9.3265,9.3512,9.2682
8.7718,0.0,8.6968,8.8025,8.9572,9.1259,9.2737,9.3657,9.3669,9.2424
8.7357,0.0,8.7546,8.8928,9.0734,9.2641,9.4324,9.5456,9.5713,9.477
7.8952,0.0,7.6264,7.7166,7.887,8.0856,8.2602,8.3586,8.3288,8.1185
7.5729,0.0,7.3346,7.4767,7.7096,7.9707,8.1977,8.328,8.299,8.0484
6.9448,0.0,6.6748,6.7829,6.9784,7.2051,7.407,7.5281,7.5123,7.3034
6.808,0.0,6.6897,6.8328,7.0477,7.2871,7.5038,7.6503,7.6795,7.5441
7.0917,0.0,6.5869,6.6499,6.8346,7.0742,7.3022,7.452,7.4572,7.251
7.5085,0.0,7.1868,7.2444,7.3808,7.5458,7.6891,7.7608,7.7106,7.4883
7.6065,0.0,7.5343,7.6575,7.8298,8.0082,8.1499,8.2119,8.1512,7.9252
7.1286,0.0,6.9693,7.0909,7.2788,7.4822,7.6503,7.7321,7.677,7.434
7.065,0.0,6.7668,6.8642,7.0449,7.248,7.4129,7.4787,7.3847,7.0701
6.6494,0.0,6.2216,6.2747,6.4268,6.6188,6.7913,6.8851,6.8411,6.5999
6.6787,0.0,6.1976,6.2062,6.3111,6.4599,6.6002,6.6797,6.646,6.4468
6.5539,0.0,6.1945,6.2215,6.3259,6.4623,6.5853,6.6495,6.6096,6.4202
5.8942,0.0,5.6467,5.697,5.8129,5.9561,6.0888,6.173,6.1706,6.0436
5.8605,0.0,5.7116,5.785,5.9113,6.056,6.1849,6.2634,6.2574,6.1324
5.4766,0.0,5.4113,5.4821,5.5886,5.7059,5.8091,5.8732,5.8732,5.7844
5.2962,0.0,5.141,5.2192,5.3518,5.5019,5.6324,5.7061,5.6862,5.5354
5.2709,0.0,5.0424,5.0856,5.1874,5.3132,5.4281,5.4976,5.4868,5.361
4.9249,0.0,4.8384,4.9012,5.0013,5.1138,5.2136,5.2757,5.2751,5.1866
4.7283,0.0,4.7168,4.7776,4.8609,4.9502,5.0291,5.0809,5.0893,5.0377
4.633,0.0,4.8461,4.949,5.0449,5.1301,5.2011,5.2542,5.2859,5.2926
4.6247,0.0,4.7157,4.7877,4.8675,4.9475,5.0203,5.0784,5.1143,5.1206
4.4892,0.0,4.5804,4.6593,4.7479,4.8369,4.917,4.9788,5.0131,5.0104
4.3557,0.0,4.5094,4.5935,4.6769,4.7555,4.8252,4.8821,4.9218,4.9405
4.1768,0.0,4.1996,4.2774,4.3784,4.4866,4.5861,4.6612,4.6959,4.6743
3.9148,0.0,3.8825,3.9425,4.0312,4.1323,4.2295,4.3061,4.346,4.3326
3.7734,0.0,3.8502,3.9612,4.0975,4.2417,4.3763,4.484,4.5474,4.5492
3.5253,0.0,3.5624,3.6708,3.8086,3.9531,4.0815,4.1708,4.1984,4.1414
3.3329,0.0,3.362,3.4877,3.6506,3.8233,3.9783,4.0879,4.1247,4.0611
3.1672,0.0,3.2557,3.3712,3.5115,3.6596,3.7983,3.9108,3.9798,3.9884
3.2966,0.0,3.5199,3.6682,3.8258,3.9813,4.1233,4.2404,4.3212,4.3544
3.0035,0.0,3.2388,3.4066,3.5898,3.7749,3.9485,4.0971,4.2073,4.2654
2.7074,0.0,3.0905,3.2688,3.4385,3.5995,3.752,3.896,4.0318,4.1592
2.8766,0.0,3.3628,3.5807,3.7828,3.9696,4.1418,4.2999,4.4445,4.5764
3.183,0.0,3.728,3.9662,4.1829,4.3793,4.5563,4.7151,4.8567,4.9822
3.4994,0.0,4.144,4.4145,4.6532,4.862,5.043,5.198,5.329,5.4381
3.4969,0.0,4.1549,4.4339,4.682,4.9009,5.0926,5.2587,5.4011,5.5215
